DATE ; IP ; SOURCE ; DESTINATION ; PORT ; FLAG ; SEQ ; ACK ; WIN ; OPTIONS ; VAL ; ECR ; LENGTH
07:48:32.671957; ;128.1.77.226.1938;52.94.225.248;http:;S;1395474060:1395474180; ;512; ; ; ;120:
07:48:32.671974; ;128.1.77.226.1939;52.94.225.248;http:;S;356733932:356734052; ;512; ; ; ;120:
07:48:32.671991; ;128.1.77.226.1940;52.94.225.248;http:;S;646354185:646354305; ;512; ; ; ;120:
07:48:32.672008; ;128.1.77.226.1941;52.94.225.248;http:;S;943163926:943164046; ;512; ; ; ;120:
07:48:32.672025; ;128.1.77.226.1942;52.94.225.248;http:;S;516270483:516270603; ;512; ; ; ;120:
07:48:32.672042; ;128.1.77.226.1943;52.94.225.248;http:;S;1812041543:1812041663; ;512; ; ; ;120:
07:48:32.672059; ;128.1.77.226.1944;52.94.225.248;http:;S;89626073:89626193; ;512; ; ; ;120:
07:48:32.672076; ;128.1.77.226.1945;52.94.225.248;http:;S;451041630:451041750; ;512; ; ; ;120:
07:48:32.672093; ;128.1.77.226.1946;52.94.225.248;http:;S;379360334:379360454; ;512; ; ; ;120:
07:48:32.672109; ;128.1.77.226.1947;52.94.225.248;http:;S;89137410:89137530; ;512; ; ; ;120:
07:48:32.672127; ;128.1.77.226.1948;52.94.225.248;http:;S;645079713:645079833; ;512; ; ; ;120:
07:48:32.672144; ;128.1.77.226.1949;52.94.225.248;http:;S;1698268164:1698268284; ;512; ; ; ;120:
07:48:32.672161; ;128.1.77.226.1950;52.94.225.248;http:;S;2095338073:2095338193; ;512; ; ; ;120:
07:48:32.672178; ;128.1.77.226.1951;52.94.225.248;http:;S;2119949925:2119950045; ;512; ; ; ;120:
07:48:32.672195; ;128.1.77.226.1952;52.94.225.248;http:;S;1064164369:1064164489; ;512; ; ; ;120:
07:48:32.672212; ;128.1.77.226.1953;52.94.225.248;http:;S;1546992011:1546992131; ;512; ; ; ;120:
07:48:32.672229; ;128.1.77.226.1954;52.94.225.248;http:;S;1983565834:1983565954; ;512; ; ; ;120:
07:48:32.672246; ;128.1.77.226.1955;52.94.225.248;http:;S;1421713785:1421713905; ;512; ; ; ;120:
07:48:32.672263; ;128.1.77.226.1956;52.94.225.248;http:;S;1166549800:1166549920; ;512; ; ; ;120:
07:48:32.672280; ;128.1.77.226.unix-status;52.94.225.248;http:;S;727759057:727759177; ;512; ; ; ;120:
07:48:32.672297; ;128.1.77.226.log-server;52.94.225.248;http:;S;2048283158:2048283278; ;512; ; ; ;120:
07:48:32.672314; ;128.1.77.226.remoteping;52.94.225.248;http:;S;142515179:142515299; ;512; ; ; ;120:
07:48:32.672331; ;128.1.77.226.1960;52.94.225.248;http:;S;565565884:565566004; ;512; ; ; ;120:
07:48:32.672348; ;128.1.77.226.1961;52.94.225.248;http:;S;902665632:902665752; ;512; ; ; ;120:
07:48:32.672365; ;128.1.77.226.1962;52.94.225.248;http:;S;2002283105:2002283225; ;512; ; ; ;120:
07:48:32.672384; ;128.1.77.226.1963;52.94.225.248;http:;S;1766335218:1766335338; ;512; ; ; ;120:
07:48:32.672401; ;128.1.77.226.1964;52.94.225.248;http:;S;924215178:924215298; ;512; ; ; ;120:
07:48:32.672417; ;128.1.77.226.1965;52.94.225.248;http:;S;856093776:856093896; ;512; ; ; ;120:
07:48:32.672434; ;128.1.77.226.1966;52.94.225.248;http:;S;1558347994:1558348114; ;512; ; ; ;120:
07:48:32.672451; ;128.1.77.226.1967;52.94.225.248;http:;S;893555193:893555313; ;512; ; ; ;120:
